time,wx,wy,wz
1.093,-3.77,-0.73,1.49
1.095,-3.83,-0.77,1.51
1.098,-3.89,-0.82,1.54
1.101,-3.94,-0.87,1.59
1.102,-3.98,-0.92,1.64
1.105,-4.02,-0.97,1.70
1.107,-4.05,-1.01,1.76
1.110,-4.09,-1.06,1.81
1.113,-4.13,-1.11,1.85
1.116,-4.17,-1.16,1.88
1.117,-4.20,-1.20,1.91
1.120,-4.23,-1.25,1.93
1.122,-4.25,-1.30,1.95
1.125,-4.27,-1.35,1.97
1.127,-4.28,-1.40,1.98
1.130,-4.29,-1.45,1.98
1.133,-4.28,-1.51,1.99
1.135,-4.27,-1.57,1.99
1.137,-4.26,-1.64,1.98
1.140,-4.24,-1.70,1.97
1.142,-4.21,-1.76,1.94
1.145,-4.18,-1.82,1.91
1.147,-4.22,-1.83,1.85
1.150,-4.15,-1.89,1.81
1.152,-4.08,-1.95,1.76
1.155,-4.01,-2.01,1.71
1.157,-3.95,-2.08,1.65
1.160,-3.90,-2.15,1.60
1.162,-3.83,-2.25,1.54
1.165,-3.75,-2.36,1.48
1.168,-3.66,-2.46,1.43
1.170,-3.57,-2.57,1.37
1.173,-3.47,-2.69,1.33
1.175,-3.36,-2.80,1.28
1.178,-3.25,-2.91,1.23
1.181,-3.14,-3.00,1.19
1.183,-3.03,-3.09,1.15
1.185,-2.90,-3.18,1.12
1.189,-2.78,-3.26,1.08
1.190,-2.65,-3.33,1.04
1.192,-2.52,-3.40,1.00
1.195,-2.39,-3.46,0.96
1.197,-2.26,-3.51,0.93
1.201,-2.12,-3.54,0.88
1.203,-1.98,-3.56,0.83
1.205,-1.85,-3.56,0.77
1.208,-1.71,-3.56,0.71
1.209,-1.58,-3.55,0.65
1.214,-1.45,-3.53,0.59
1.215,-1.34,-3.47,0.54
1.217,-1.26,-3.33,0.48
1.219,-1.22,-3.09,0.43
1.223,-1.21,-2.82,0.40
1.225,-1.19,-2.60,0.39
1.227,-1.17,-2.44,0.38
1.230,-1.14,-2.32,0.38
1.232,-1.09,-2.25,0.37
1.235,-1.02,-2.20,0.35
1.237,-0.94,-2.19,0.31
1.239,-0.85,-2.20,0.26
1.242,-0.76,-2.23,0.21
1.244,-0.66,-2.27,0.15
1.247,-0.57,-2.31,0.08
1.250,-0.47,-2.35,0.03
1.252,-0.39,-2.38,-0.04
1.259,-0.31,-2.40,-0.10
1.260,-0.24,-2.42,-0.15
1.260,-0.17,-2.44,-0.21
1.262,-0.10,-2.46,-0.27
1.265,-0.05,-2.48,-0.33
1.268,0.01,-2.51,-0.38
1.270,0.06,-2.54,-0.44
1.273,0.12,-2.56,-0.50
1.275,0.17,-2.58,-0.56
1.277,0.23,-2.59,-0.61
1.279,0.30,-2.57,-0.66
1.282,0.38,-2.53,-0.70
1.289,0.46,-2.49,-0.73
1.290,0.55,-2.45,-0.76
1.291,0.63,-2.43,-0.77
1.292,0.71,-2.41,-0.78
1.295,0.81,-2.39,-0.78
1.297,0.90,-2.37,-0.77
1.308,0.99,-2.35,-0.75
1.308,1.09,-2.33,-0.72
1.309,1.19,-2.30,-0.67
1.309,1.29,-2.27,-0.62
1.310,1.38,-2.23,-0.56
1.312,1.47,-2.19,-0.48
1.315,1.56,-2.14,-0.40
1.317,1.63,-2.09,-0.31
1.320,1.69,-2.01,-0.22
1.322,1.73,-1.89,-0.12
1.325,1.75,-1.71,-0.02
1.327,1.73,-1.35,0.05
1.342,1.67,-0.83,0.12
1.343,1.59,-0.38,0.18
1.343,1.52,0.00,0.25
1.344,1.46,0.32,0.32
1.347,1.42,0.57,0.38
1.348,1.40,0.77,0.45
1.349,1.39,0.90,0.50
1.351,1.39,1.00,0.55
1.357,1.40,1.06,0.59
1.358,1.41,1.09,0.63
1.359,1.43,1.08,0.68
1.359,1.44,1.04,0.73
1.363,1.45,0.97,0.79
1.364,1.47,0.87,0.85
1.365,1.48,0.76,0.92
1.368,1.49,0.63,0.98
1.370,1.50,0.51,1.04
1.402,1.51,0.41,1.09
1.402,1.52,0.33,1.13
1.402,1.53,0.28,1.16
1.403,1.54,0.26,1.18
1.403,1.54,0.25,1.19
1.404,1.53,0.25,1.21
1.404,1.51,0.26,1.21
1.404,1.49,0.29,1.21
1.405,1.46,0.33,1.20
1.405,1.42,0.40,1.20
1.409,1.38,0.48,1.18
1.410,1.36,0.57,1.18
1.410,1.33,0.68,1.16
1.410,1.32,0.79,1.14
1.411,1.32,0.91,1.11
1.411,1.33,1.03,1.08
1.417,1.35,1.16,1.04
1.420,1.37,1.27,1.01
1.444,1.40,1.38,0.96
1.445,1.43,1.47,0.91
1.445,1.46,1.54,0.86
1.446,1.48,1.58,0.81
1.446,1.50,1.62,0.76
1.447,1.51,1.65,0.70
1.447,1.51,1.65,0.64
1.448,1.50,1.65,0.57
1.448,1.48,1.63,0.51
1.448,1.46,1.61,0.44
1.449,1.43,1.58,0.37
1.449,1.40,1.55,0.30
1.449,1.36,1.54,0.23
1.449,1.31,1.54,0.16
1.453,1.27,1.56,0.10
1.462,1.22,1.59,0.03
1.463,1.18,1.62,-0.03
1.463,1.13,1.66,-0.10
1.464,1.09,1.70,-0.16
1.467,1.05,1.73,-0.22
1.468,1.01,1.78,-0.28
1.470,0.97,1.83,-0.33
1.472,0.94,1.88,-0.36
1.475,0.90,1.97,-0.38
1.477,0.87,2.07,-0.39
1.481,0.85,2.18,-0.38
1.485,0.83,2.29,-0.38
1.489,0.80,2.39,-0.35
1.490,0.78,2.48,-0.33
1.492,0.75,2.56,-0.30
1.493,0.73,2.60,-0.27
1.502,0.69,2.62,-0.23
1.502,0.65,2.61,-0.19
1.503,0.60,2.58,-0.14
1.504,0.53,2.52,-0.09
1.511,0.44,2.46,-0.05
1.521,0.36,2.39,-0.03
1.523,0.29,2.34,-0.00
1.523,0.23,2.31,0.02
1.526,0.17,2.29,0.03
1.527,0.13,2.27,0.03
1.527,0.10,2.28,0.01
1.528,0.06,2.26,-0.03
1.529,0.02,2.23,-0.09
1.529,-0.02,2.19,-0.16
1.529,-0.07,2.12,-0.25
1.532,-0.13,2.02,-0.35
1.535,-0.19,1.89,-0.44
1.537,-0.26,1.77,-0.54
1.539,-0.33,1.66,-0.62
1.542,-0.39,1.58,-0.71
1.544,-0.44,1.53,-0.79
1.547,-0.47,1.52,-0.86
1.549,-0.48,1.55,-0.92
1.552,-0.46,1.61,-0.98
1.554,-0.42,1.69,-1.02
1.557,-0.36,1.77,-1.05
1.559,-0.29,1.81,-1.06
1.561,-0.21,1.79,-1.07
1.564,-0.10,1.68,-1.07
1.567,0.02,1.50,-1.08
1.569,0.15,1.28,-1.08
1.572,0.30,1.02,-1.09
1.574,0.46,0.75,-1.11
1.577,0.64,0.44,-1.13
1.579,0.85,0.07,-1.16
1.582,1.08,-0.32,-1.17
1.584,1.31,-0.74,-1.19
1.587,1.57,-1.24,-1.21
1.589,1.82,-1.81,-1.21
1.592,2.07,-2.41,-1.23
