time,wx,wy,wz
1.543,0.49,-2.79,1.42
1.545,0.49,-2.64,1.35
1.548,0.49,-2.48,1.28
1.551,0.46,-2.31,1.20
1.553,0.43,-2.14,1.11
1.556,0.38,-1.98,1.03
1.559,0.32,-1.80,0.93
1.563,0.25,-1.62,0.83
1.564,0.18,-1.45,0.73
1.570,0.10,-1.27,0.62
1.571,0.01,-1.09,0.52
1.572,-0.09,-0.90,0.42
1.573,-0.19,-0.72,0.32
1.576,-0.29,-0.53,0.23
1.582,-0.40,-0.35,0.13
1.583,-0.50,-0.18,0.03
1.584,-0.60,-0.01,-0.06
1.586,-0.70,0.15,-0.16
1.589,-0.79,0.30,-0.25
1.591,-0.87,0.45,-0.35
1.593,-0.95,0.59,-0.44
1.596,-1.01,0.72,-0.53
1.598,-1.06,0.85,-0.63
1.601,-1.09,0.97,-0.73
1.603,-1.12,1.09,-0.82
1.605,-1.13,1.21,-0.93
1.608,-1.13,1.32,-1.03
1.610,-1.12,1.44,-1.14
1.614,-1.10,1.54,-1.25
1.616,-1.07,1.65,-1.36
1.618,-1.03,1.74,-1.46
1.620,-0.97,1.82,-1.56
1.623,-0.91,1.89,-1.66
1.626,-0.84,1.95,-1.76
1.629,-0.75,2.00,-1.86
1.630,-0.64,2.03,-1.96
1.634,-0.53,2.05,-2.07
1.637,-0.40,2.06,-2.17
1.638,-0.26,2.05,-2.28
1.641,-0.10,2.02,-2.40
1.643,0.07,1.96,-2.53
1.646,0.24,1.88,-2.66
1.648,0.42,1.77,-2.79
1.651,0.60,1.64,-2.93
1.653,0.79,1.50,-3.06
1.655,0.96,1.35,-3.20
1.658,1.13,1.21,-3.35
1.661,1.29,1.09,-3.50
1.664,1.42,0.99,-3.65
1.666,1.54,0.91,-3.82
1.668,1.63,0.87,-3.99
1.671,1.70,0.87,-4.16
1.674,1.74,0.90,-4.33
1.676,1.76,0.95,-4.51
1.685,1.75,1.04,-4.69
1.686,1.73,1.16,-4.86
1.687,1.69,1.30,-5.02
1.688,1.64,1.48,-5.18
1.689,1.58,1.68,-5.34
1.691,1.52,1.90,-5.48
1.697,1.45,2.15,-5.61
1.698,1.40,2.41,-5.73
1.699,1.35,2.68,-5.84
1.701,1.33,2.96,-5.93
1.706,1.32,3.24,-6.03
1.706,1.34,3.53,-6.12
1.708,1.39,3.81,-6.20
1.710,1.47,4.07,-6.28
1.713,1.58,4.31,-6.35
1.715,1.71,4.52,-6.42
1.719,1.88,4.71,-6.48
1.720,2.06,4.86,-6.54
1.723,2.27,5.00,-6.60
1.726,2.49,5.10,-6.66
1.728,2.72,5.18,-6.71
1.736,2.96,5.24,-6.76
1.737,3.20,5.28,-6.81
1.737,3.45,5.30,-6.86
1.738,3.69,5.31,-6.91
1.741,3.93,5.31,-6.95
1.743,4.16,5.31,-6.99
1.749,4.39,5.30,-7.03
1.750,4.62,5.28,-7.07
1.750,4.83,5.27,-7.09
1.753,5.03,5.25,-7.12
1.756,5.22,5.23,-7.14
