time,ax,ay,az,aT
2.6890,5.7040,-15.7980,4.6770,17.435
2.6980,1.7790,-13.9310,6.6960,15.559
2.7100,1.6010,-12.2020,5.0170,13.290
2.7210,6.0660,-10.8900,-1.0850,12.513
2.7290,8.2240,-11.7100,-7.2520,16.042
2.7410,8.8930,-10.3260,-10.9060,17.454
2.7490,6.8490,-9.8300,-11.5230,16.623
2.7590,2.8380,-9.5140,-10.0760,14.146
2.7690,-1.3860,-9.9760,-7.8290,12.757
2.7780,-2.4770,-11.5490,-4.8880,12.783
2.7880,0.2610,-14.7450,-3.0120,15.052
2.7990,4.6060,-17.3580,-2.3450,18.111
2.8080,7.4790,-18.6100,-0.8060,20.073
2.8180,11.2540,-19.2840,-0.3150,22.330
2.8280,15.2150,-18.8860,-1.1910,24.282
2.8380,16.7660,-17.5650,-3.0060,24.468
2.8480,14.3900,-15.9240,-4.5390,21.937
2.8570,9.0950,-15.0160,-4.4490,18.111
2.8680,1.9790,-14.3320,-3.1360,14.804
2.8790,-4.9830,-13.4740,-1.0740,14.406
2.8890,-8.7740,-12.8110,0.6480,15.541
2.8980,-9.0770,-11.4650,1.4750,14.697
2.9090,-6.0510,-9.3460,0.9300,11.173
2.9180,-0.4090,-6.9200,-0.3250,6.940
2.9290,5.9400,-3.8490,-1.7110,7.282
2.9380,10.1310,-0.7210,-2.1750,10.387
2.9490,11.1920,2.0610,-1.4070,11.467
2.9580,10.9380,5.1840,-0.0520,12.104
2.9680,12.1670,8.4240,0.6520,14.813
2.9780,15.6270,11.3770,0.5200,19.337
2.9890,19.6130,15.1410,1.6480,24.832
2.9990,23.0970,20.1200,4.0400,30.897
3.0090,28.1780,25.3490,7.0340,38.549
3.0190,33.9690,28.8040,10.1310,45.675
3.0300,37.1590,29.5680,12.3740,49.073
3.0400,35.2470,28.4220,14.1460,47.437
3.0480,27.7020,27.3100,16.4510,42.236
3.0610,20.3090,26.2450,16.2630,36.956
3.0700,16.4160,24.7690,12.9190,32.402
3.0800,14.2890,23.3470,8.5880,28.688
3.0880,12.3930,21.3320,4.6910,25.113
3.1000,11.2490,18.5860,1.2820,21.763
3.1080,9.7530,15.4670,-1.1430,18.321
3.1190,6.1890,11.9570,-1.7260,13.574
3.1290,0.7710,8.3980,-0.9170,8.483
3.1370,-4.4720,4.8740,0.3200,6.622
3.1470,-8.0870,1.5720,2.3050,8.555
3.1610,-9.5630,-1.3980,3.6250,10.322
3.1700,-8.9160,-3.8560,4.2370,10.598
3.1780,-6.8160,-5.7390,4.3510,9.916
3.1890,-3.9930,-7.0250,4.0920,9.058
3.1980,-1.1000,-8.1070,3.5080,8.902
3.2080,1.5100,-9.3650,2.5070,9.812
3.2190,3.5810,-10.5730,1.5340,11.268
3.2300,4.9720,-11.3840,0.8700,12.453
3.2400,6.2140,-12.0210,0.4890,13.541
3.2500,7.1060,-12.4320,0.2830,14.322
3.2590,7.9360,-12.7350,-0.0890,15.006
3.2680,9.1590,-13.0260,-0.5790,15.934
3.2770,10.4050,-13.8340,-1.1350,17.347
3.2880,11.3950,-14.4340,-1.7570,18.474
3.2980,11.5030,-14.3910,-2.0630,18.538
3.3070,9.6450,-14.1310,-1.1960,17.151
3.3170,5.6130,-13.2230,0.3010,14.368
3.3270,1.4070,-11.6250,1.8320,11.852
3.3380,-0.9640,-10.8620,1.5050,11.008
3.3500,-2.8220,-9.8070,-0.5750,10.221
3.3590,-3.2450,-8.1530,-3.9630,9.628
3.3680,-1.6590,-7.9290,-7.4270,10.990
3.3780,-0.2550,-7.3180,-10.0660,12.448
3.3900,0.1870,-5.8680,-10.5050,12.034
3.4000,-0.0020,-6.7570,-9.6130,11.750
3.4080,2.2880,-9.0180,-8.9770,12.928
3.4180,5.7120,-11.7520,-7.2090,14.923
3.4270,8.6770,-14.5070,-5.4570,17.763
3.4380,11.1000,-16.1370,-3.4970,19.896
3.4480,13.0570,-15.7190,-0.4960,20.441
3.4590,13.8470,-13.7700,2.9280,19.747
3.4700,16.2060,-12.6600,3.1440,20.804
3.4790,15.2110,-10.5310,2.5460,18.675
3.4890,12.2680,-9.6040,0.9910,15.612
3.4980,7.1510,-9.4000,0.0300,11.811
3.5090,0.1790,-9.4770,-0.5180,9.493
3.5200,-6.6830,-9.1440,-0.5000,11.337
3.5300,-11.5550,-8.4420,-0.2190,14.312
3.5410,-12.6760,-7.4160,-0.4080,14.692
3.5500,-9.4250,-6.0570,-1.8180,11.350
3.5600,-4.0510,-4.5240,-3.6750,7.098
3.5690,0.4990,-2.6350,-4.6140,5.337
3.5800,3.2520,-0.3540,-3.3360,4.672
3.5890,4.9480,2.4080,-0.4150,5.518
3.6000,7.2720,5.7530,2.1000,9.507
3.6080,11.1620,9.1720,2.9930,14.754
3.6180,15.3680,12.1910,2.4710,19.771
3.6280,17.8500,15.6740,2.4760,23.884
3.6400,19.3680,20.3330,3.5000,28.298
3.6480,21.8990,24.2010,5.2160,33.052
3.6590,24.8800,25.7190,7.5560,36.573
3.6690,26.4810,25.1500,9.6170,37.766
3.6790,23.8120,24.8880,11.5870,36.341
3.6890,17.6790,25.4450,13.9740,33.989
3.6990,13.4710,25.4860,14.3680,32.209
3.7100,12.1090,24.8430,12.4880,30.327
3.7190,12.7470,23.3670,9.3570,28.214
3.7290,14.9770,21.3660,5.4820,26.662
3.7400,15.4760,19.3710,1.4620,24.837
3.7470,11.7220,17.3460,-1.1560,20.967
3.7580,5.9090,14.3410,-1.9230,15.629
3.7670,-0.0540,10.8260,-0.7500,10.852
3.7770,-4.9340,7.1360,2.2550,8.964
3.7870,-8.2190,3.6330,5.2290,10.397
3.7970,-9.2490,0.8390,8.1490,12.355
3.8070,-7.9490,-0.7800,9.6410,12.520
